artefact,n_s0,mean_s0,direction,borderline
L01,20,90,lower,False
L02,20,47.95,raise,True
L03,20,87.7,lower,False
L04,20,29.75,raise,False
L07,20,93.3,lower,False
L08,20,15.6,raise,False
M01,20,93.5,lower,False
M02,20,12,raise,False
M03,20,88.3,lower,False
M04,20,19,raise,False
M05,20,93.55,lower,False
M06,20,59.5,lower,False
M07,20,85.2,lower,False
M08,20,87.85,lower,False
S01,20,56.95,lower,False
S02,20,76.4,lower,False
S03,20,44.5,raise,False
S04,20,94.25,lower,False
S05,20,54.75,lower,True
S06,20,87.95,lower,False
S07,20,33.7,raise,False
S08,20,95.85,lower,False
