artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,invalid,0,012,94,82,70,45
L01,L,lower,invalid,0,120,94,90,84,78
L01,L,lower,invalid,0,201,94,92,84,82
L01,L,lower,invalid,1,012,94,84,74,64
L01,L,lower,invalid,1,120,94,86,76,68
L01,L,lower,invalid,1,201,94,89,80,72
L01,L,lower,invalid,2,012,92,74,62,45
L01,L,lower,invalid,2,120,92,88,85,80
L01,L,lower,invalid,2,201,92,88,79,79
L01,L,lower,invalid,3,012,92,78,70,58
L01,L,lower,invalid,3,120,92,85,81,78
L01,L,lower,invalid,3,201,92,84,82,80
L01,L,lower,invalid,4,012,94,80,70,55
L01,L,lower,invalid,4,120,94,86,72,65
L01,L,lower,invalid,4,201,94,86,80,75
L01,L,lower,valid,0,012,94,86,76,74
L01,L,lower,valid,0,120,94,88,85,78
L01,L,lower,valid,0,201,94,89,83,75
L01,L,lower,valid,1,012,94,87,79,76
L01,L,lower,valid,1,120,94,84,81,75
L01,L,lower,valid,1,201,94,88,82,75
L01,L,lower,valid,2,012,92,84,76,74
L01,L,lower,valid,2,120,92,86,83,78
L01,L,lower,valid,2,201,92,88,82,74
L01,L,lower,valid,3,012,92,85,77,74
L01,L,lower,valid,3,120,92,84,80,75
L01,L,lower,valid,3,201,92,88,82,76
L01,L,lower,valid,4,012,94,88,79,77
L01,L,lower,valid,4,120,94,85,82,78
L01,L,lower,valid,4,201,94,88,82,76
L02,L,lower,invalid,0,012,62,20,10,1
L02,L,lower,invalid,0,120,62,34,1,1
L02,L,lower,invalid,0,201,62,1,1,1
L02,L,lower,invalid,1,012,61,10,1,1
L02,L,lower,invalid,1,120,61,28,5,1
L02,L,lower,invalid,1,201,61,1,1,1
L02,L,lower,invalid,2,012,60,15,5,1
L02,L,lower,invalid,2,120,60,25,1,1
L02,L,lower,invalid,2,201,60,1,1,1
L02,L,lower,invalid,3,012,54,10,2,1
L02,L,lower,invalid,3,120,54,23,1,1
L02,L,lower,invalid,3,201,54,1,1,1
L02,L,lower,invalid,4,012,56,18,12,1
L02,L,lower,invalid,4,120,56,30,1,1
L02,L,lower,invalid,4,201,56,1,1,1
L02,L,lower,valid,0,012,62,34,20,5
L02,L,lower,valid,0,120,62,40,12,5
L02,L,lower,valid,0,201,62,15,7,3
L02,L,lower,valid,1,012,61,38,20,7
L02,L,lower,valid,1,120,61,38,12,5
L02,L,lower,valid,1,201,61,12,7,3
L02,L,lower,valid,2,012,60,30,15,5
L02,L,lower,valid,2,120,60,45,15,5
L02,L,lower,valid,2,201,60,12,7,3
L02,L,lower,valid,3,012,54,28,14,5
L02,L,lower,valid,3,120,54,38,12,6
L02,L,lower,valid,3,201,54,12,8,4
L02,L,lower,valid,4,012,56,31,17,6
L02,L,lower,valid,4,120,56,38,10,5
L02,L,lower,valid,4,201,56,12,5,2
L03,L,lower,invalid,0,012,94,94,94,94
L03,L,lower,invalid,0,120,94,94,94,94
L03,L,lower,invalid,0,201,94,94,94,94
L03,L,lower,invalid,1,012,93,93,93,93
L03,L,lower,invalid,1,120,93,93,93,93
L03,L,lower,invalid,1,201,93,93,93,93
L03,L,lower,invalid,2,012,91,91,91,91
L03,L,lower,invalid,2,120,91,91,91,91
L03,L,lower,invalid,2,201,91,91,91,91
L03,L,lower,invalid,3,012,93,93,93,93
L03,L,lower,invalid,3,120,93,93,93,93
L03,L,lower,invalid,3,201,93,93,93,93
L03,L,lower,invalid,4,012,92,92,92,92
L03,L,lower,invalid,4,120,92,92,92,92
L03,L,lower,invalid,4,201,92,92,92,92
L03,L,lower,valid,0,012,94,30,18,15
L03,L,lower,valid,0,120,94,72,60,50
L03,L,lower,valid,0,201,94,60,45,35
L03,L,lower,valid,1,012,93,52,39,56
L03,L,lower,valid,1,120,93,74,60,45
L03,L,lower,valid,1,201,93,62,48,40
L03,L,lower,valid,2,012,91,52,39,56
L03,L,lower,valid,2,120,91,68,58,47
L03,L,lower,valid,2,201,91,58,43,35
L03,L,lower,valid,3,012,93,45,30,56
L03,L,lower,valid,3,120,93,76,58,45
L03,L,lower,valid,3,201,93,60,48,35
L03,L,lower,valid,4,012,92,55,40,58
L03,L,lower,valid,4,120,92,74,58,44
L03,L,lower,valid,4,201,92,58,45,35
L04,L,raise,invalid,0,012,46,70,75,82
L04,L,raise,invalid,0,120,46,50,54,55
L04,L,raise,invalid,0,201,46,46,46,46
L04,L,raise,invalid,1,012,40,72,80,83
L04,L,raise,invalid,1,120,40,48,55,62
L04,L,raise,invalid,1,201,40,40,40,40
L04,L,raise,invalid,2,012,45,70,80,82
L04,L,raise,invalid,2,120,45,45,45,45
L04,L,raise,invalid,2,201,45,45,45,45
L04,L,raise,invalid,3,012,54,76,78,82
L04,L,raise,invalid,3,120,54,58,60,60
L04,L,raise,invalid,3,201,54,54,54,54
L04,L,raise,invalid,4,012,42,68,75,83
L04,L,raise,invalid,4,120,42,50,55,55
L04,L,raise,invalid,4,201,42,42,42,42
L04,L,raise,valid,0,012,46,60,66,80
L04,L,raise,valid,0,120,46,54,55,62
L04,L,raise,valid,0,201,46,52,60,66
L04,L,raise,valid,1,012,40,55,62,62
L04,L,raise,valid,1,120,40,48,50,58
L04,L,raise,valid,1,201,40,75,80,83
L04,L,raise,valid,2,012,45,60,66,68
L04,L,raise,valid,2,120,45,52,55,62
L04,L,raise,valid,2,201,45,50,60,65
L04,L,raise,valid,3,012,54,65,72,80
L04,L,raise,valid,3,120,54,60,50,68
L04,L,raise,valid,3,201,54,49,62,68
L04,L,raise,valid,4,012,42,60,66,68
L04,L,raise,valid,4,120,42,50,52,60
L04,L,raise,valid,4,201,42,48,56,64
L07,L,lower,invalid,0,012,95,93,90,89
L07,L,lower,invalid,0,120,95,90,88,86
L07,L,lower,invalid,0,201,95,95,95,95
L07,L,lower,invalid,1,012,94,92,88,85
L07,L,lower,invalid,1,120,94,88,86,84
L07,L,lower,invalid,1,201,94,94,94,94
L07,L,lower,invalid,2,012,95,92,90,88
L07,L,lower,invalid,2,120,95,90,80,80
L07,L,lower,invalid,2,201,95,95,95,95
L07,L,lower,invalid,3,012,94,92,86,84
L07,L,lower,invalid,3,120,94,90,88,87
L07,L,lower,invalid,3,201,94,94,94,94
L07,L,lower,invalid,4,012,94,90,87,85
L07,L,lower,invalid,4,120,94,88,85,84
L07,L,lower,invalid,4,201,94,94,94,94
L07,L,lower,valid,0,012,95,87,78,72
L07,L,lower,valid,0,120,95,88,82,75
L07,L,lower,valid,0,201,95,87,82,75
L07,L,lower,valid,1,012,94,88,80,72
L07,L,lower,valid,1,120,94,86,80,73
L07,L,lower,valid,1,201,94,86,80,72
L07,L,lower,valid,2,012,95,88,80,74
L07,L,lower,valid,2,120,95,86,80,74
L07,L,lower,valid,2,201,95,86,80,72
L07,L,lower,valid,3,012,94,87,80,73
L07,L,lower,valid,3,120,94,86,78,72
L07,L,lower,valid,3,201,94,84,78,71
L07,L,lower,valid,4,012,94,86,77,72
L07,L,lower,valid,4,120,94,88,82,75
L07,L,lower,valid,4,201,94,86,80,72
L08,L,raise,invalid,0,012,33,38,40,45
L08,L,raise,invalid,0,120,33,40,48,55
L08,L,raise,invalid,0,201,33,33,33,33
L08,L,raise,invalid,1,012,24,26,28,32
L08,L,raise,invalid,1,120,24,28,34,36
L08,L,raise,invalid,1,201,24,33,36,40
L08,L,raise,invalid,2,012,27,30,33,36
L08,L,raise,invalid,2,120,27,33,40,45
