artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,invalid,0,012,92,88,88,86
L01,L,lower,invalid,0,120,92,92,92,92
L01,L,lower,invalid,0,201,92,88,88,88
L01,L,lower,invalid,1,012,90,86,86,86
L01,L,lower,invalid,1,120,90,90,90,90
L01,L,lower,invalid,1,201,90,87,85,85
L01,L,lower,invalid,2,012,88,82,82,82
L01,L,lower,invalid,2,120,88,88,88,88
L01,L,lower,invalid,2,201,88,85,84,84
L01,L,lower,invalid,3,012,90,84,84,84
L01,L,lower,invalid,3,120,90,90,90,90
L01,L,lower,invalid,3,201,90,88,86,86
L01,L,lower,invalid,4,012,90,86,86,86
L01,L,lower,invalid,4,120,90,88,88,88
L01,L,lower,invalid,4,201,90,87,87,87
L01,L,lower,valid,0,012,92,85,78,76
L01,L,lower,valid,0,120,92,84,80,76
L01,L,lower,valid,0,201,92,86,82,78
L01,L,lower,valid,1,012,90,84,78,74
L01,L,lower,valid,1,120,90,84,80,76
L01,L,lower,valid,1,201,90,84,78,74
L01,L,lower,valid,2,012,88,82,75,72
L01,L,lower,valid,2,120,88,82,78,74
L01,L,lower,valid,2,201,88,82,76,72
L01,L,lower,valid,3,012,90,82,74,72
L01,L,lower,valid,3,120,90,84,80,76
L01,L,lower,valid,3,201,90,84,78,74
L01,L,lower,valid,4,012,90,84,78,75
L01,L,lower,valid,4,120,90,84,80,76
L01,L,lower,valid,4,201,90,84,78,74
L02,L,raise,invalid,0,012,48,52,45,45
L02,L,raise,invalid,0,120,48,48,48,48
L02,L,raise,invalid,0,201,48,48,48,48
L02,L,raise,invalid,1,012,48,50,46,46
L02,L,raise,invalid,1,120,48,48,48,48
L02,L,raise,invalid,1,201,48,48,48,48
L02,L,raise,invalid,2,012,52,55,55,55
L02,L,raise,invalid,2,120,52,52,52,52
L02,L,raise,invalid,2,201,52,52,52,52
L02,L,raise,invalid,3,012,58,60,58,58
L02,L,raise,invalid,3,120,58,52,52,52
L02,L,raise,invalid,3,201,58,58,58,58
L02,L,raise,invalid,4,012,48,48,48,48
L02,L,raise,invalid,4,120,48,48,48,48
L02,L,raise,invalid,4,201,48,48,48,48
L02,L,raise,valid,0,012,48,62,65,67
L02,L,raise,valid,0,120,48,55,58,62
L02,L,raise,valid,0,201,48,54,58,60
L02,L,raise,valid,1,012,48,62,65,67
L02,L,raise,valid,1,120,48,54,57,60
L02,L,raise,valid,1,201,48,55,62,64
L02,L,raise,valid,2,012,52,60,62,65
L02,L,raise,valid,2,120,52,55,58,60
L02,L,raise,valid,2,201,52,58,62,64
L02,L,raise,valid,3,012,58,64,66,68
L02,L,raise,valid,3,120,58,62,65,68
L02,L,raise,valid,3,201,58,62,65,67
L02,L,raise,valid,4,012,48,62,65,67
L02,L,raise,valid,4,120,48,56,60,62
L02,L,raise,valid,4,201,48,56,62,64
L03,L,lower,invalid,0,012,88,88,88,88
L03,L,lower,invalid,0,120,88,88,88,88
L03,L,lower,invalid,0,201,88,88,88,88
L03,L,lower,invalid,1,012,88,88,88,88
L03,L,lower,invalid,1,120,88,88,88,88
L03,L,lower,invalid,1,201,88,88,88,88
L03,L,lower,invalid,2,012,88,88,88,88
L03,L,lower,invalid,2,120,88,88,88,88
L03,L,lower,invalid,2,201,88,88,88,88
L03,L,lower,invalid,3,012,88,88,88,88
L03,L,lower,invalid,3,120,88,88,88,88
L03,L,lower,invalid,3,201,88,88,88,88
L03,L,lower,invalid,4,012,88,88,88,88
L03,L,lower,invalid,4,120,88,88,88,88
L03,L,lower,invalid,4,201,88,88,88,88
L03,L,lower,valid,0,012,88,62,52,56
L03,L,lower,valid,0,120,88,76,58,55
L03,L,lower,valid,0,201,88,58,55,52
L03,L,lower,valid,1,012,88,62,55,58
L03,L,lower,valid,1,120,88,72,58,55
L03,L,lower,valid,1,201,88,58,55,52
L03,L,lower,valid,2,012,88,62,54,55
L03,L,lower,valid,2,120,88,78,58,55
L03,L,lower,valid,2,201,88,58,52,48
L03,L,lower,valid,3,012,88,62,52,56
L03,L,lower,valid,3,120,88,78,62,55
L03,L,lower,valid,3,201,88,58,55,52
L03,L,lower,valid,4,012,88,62,52,55
L03,L,lower,valid,4,120,88,72,58,55
L03,L,lower,valid,4,201,88,58,55,52
L04,L,raise,invalid,0,012,24,24,24,24
L04,L,raise,invalid,0,120,24,24,24,24
L04,L,raise,invalid,0,201,24,24,24,24
L04,L,raise,invalid,1,012,28,28,28,28
L04,L,raise,invalid,1,120,28,28,28,28
L04,L,raise,invalid,1,201,28,28,28,28
L04,L,raise,invalid,2,012,28,28,28,28
L04,L,raise,invalid,2,120,28,28,28,28
L04,L,raise,invalid,2,201,28,28,28,28
L04,L,raise,invalid,3,012,32,32,32,32
L04,L,raise,invalid,3,120,32,32,32,32
L04,L,raise,invalid,3,201,32,32,32,32
L04,L,raise,invalid,4,012,32,32,32,32
L04,L,raise,invalid,4,120,32,32,32,32
L04,L,raise,invalid,4,201,32,32,32,32
L04,L,raise,valid,0,012,24,38,45,45
L04,L,raise,valid,0,120,24,32,42,42
L04,L,raise,valid,0,201,24,38,42,45
