artefact,tier,direction,validity,run,ordering,S0,t1,t2,t3
L01,L,lower,invalid,0,012,90,82,80,78
L01,L,lower,invalid,0,120,90,88,86,84
L01,L,lower,invalid,0,201,90,86,82,80
L01,L,lower,invalid,1,012,88,76,75,74
L01,L,lower,invalid,1,120,88,86,84,82
L01,L,lower,invalid,1,201,88,74,68,70
L01,L,lower,invalid,2,012,90,78,78,74
L01,L,lower,invalid,2,120,90,88,86,84
L01,L,lower,invalid,2,201,90,74,70,68
L01,L,lower,invalid,3,012,88,78,78,78
L01,L,lower,invalid,3,120,88,86,85,84
L01,L,lower,invalid,3,201,88,76,72,70
L01,L,lower,invalid,4,012,90,78,76,74
L01,L,lower,invalid,4,120,90,85,83,80
L01,L,lower,invalid,4,201,90,84,78,76
L01,L,lower,valid,0,012,90,84,78,74
L01,L,lower,valid,0,120,90,82,78,72
L01,L,lower,valid,0,201,90,85,80,76
L01,L,lower,valid,1,012,88,82,76,72
L01,L,lower,valid,1,120,88,82,78,72
L01,L,lower,valid,1,201,88,83,78,74
L01,L,lower,valid,2,012,90,82,74,69
L01,L,lower,valid,2,120,90,82,78,72
L01,L,lower,valid,2,201,90,84,79,74
L01,L,lower,valid,3,012,88,82,76,73
L01,L,lower,valid,3,120,88,82,79,74
L01,L,lower,valid,3,201,88,84,79,74
L01,L,lower,valid,4,012,90,84,78,74
L01,L,lower,valid,4,120,90,84,80,74
L01,L,lower,valid,4,201,90,84,78,72
L02,L,lower,invalid,0,012,58,28,28,24
L02,L,lower,invalid,0,120,58,40,35,38
L02,L,lower,invalid,0,201,58,35,25,28
L02,L,lower,invalid,1,012,55,25,25,25
L02,L,lower,invalid,1,120,55,40,40,30
L02,L,lower,invalid,1,201,55,45,30,30
L02,L,lower,invalid,2,012,55,30,28,25
L02,L,lower,invalid,2,120,55,38,35,32
L02,L,lower,invalid,2,201,55,40,30,30
L02,L,lower,invalid,3,012,55,28,28,18
L02,L,lower,invalid,3,120,55,40,35,30
L02,L,lower,invalid,3,201,55,40,40,35
L02,L,lower,invalid,4,012,54,32,32,24
L02,L,lower,invalid,4,120,54,42,41,40
L02,L,lower,invalid,4,201,54,30,25,28
L02,L,lower,valid,0,012,58,45,35,28
L02,L,lower,valid,0,120,58,42,28,22
L02,L,lower,valid,0,201,58,40,35,30
L02,L,lower,valid,1,012,55,45,35,28
