shape_id,shape_label,bt_rating,true_shift,pinned_overlay_shift
calibrated_ideal,calibrated (ideal),-2.5,0,0
calibrated_ideal,calibrated (ideal),-2.48333333333,0,0
calibrated_ideal,calibrated (ideal),-2.46666666667,0,0
calibrated_ideal,calibrated (ideal),-2.45,0,0
calibrated_ideal,calibrated (ideal),-2.43333333333,0,0
calibrated_ideal,calibrated (ideal),-2.41666666667,0,0
calibrated_ideal,calibrated (ideal),-2.4,0,0
calibrated_ideal,calibrated (ideal),-2.38333333333,0,0
calibrated_ideal,calibrated (ideal),-2.36666666667,0,0
calibrated_ideal,calibrated (ideal),-2.35,0,0
calibrated_ideal,calibrated (ideal),-2.33333333333,0,0
calibrated_ideal,calibrated (ideal),-2.31666666667,0,0
calibrated_ideal,calibrated (ideal),-2.3,0,0
calibrated_ideal,calibrated (ideal),-2.28333333333,0,0
calibrated_ideal,calibrated (ideal),-2.26666666667,0,0
calibrated_ideal,calibrated (ideal),-2.25,0,0
calibrated_ideal,calibrated (ideal),-2.23333333333,0,0
calibrated_ideal,calibrated (ideal),-2.21666666667,0,0
calibrated_ideal,calibrated (ideal),-2.2,0,0
calibrated_ideal,calibrated (ideal),-2.18333333333,0,0
calibrated_ideal,calibrated (ideal),-2.16666666667,0,0
calibrated_ideal,calibrated (ideal),-2.15,0,0
calibrated_ideal,calibrated (ideal),-2.13333333333,0,0
calibrated_ideal,calibrated (ideal),-2.11666666667,0,0
calibrated_ideal,calibrated (ideal),-2.1,0,0
calibrated_ideal,calibrated (ideal),-2.08333333333,0,0
calibrated_ideal,calibrated (ideal),-2.06666666667,0,0
calibrated_ideal,calibrated (ideal),-2.05,0,0
calibrated_ideal,calibrated (ideal),-2.03333333333,0,0
calibrated_ideal,calibrated (ideal),-2.01666666667,0,0
calibrated_ideal,calibrated (ideal),-2,0,0
calibrated_ideal,calibrated (ideal),-1.98333333333,0,0
calibrated_ideal,calibrated (ideal),-1.96666666667,0,0
calibrated_ideal,calibrated (ideal),-1.95,0,0
calibrated_ideal,calibrated (ideal),-1.93333333333,0,0
calibrated_ideal,calibrated (ideal),-1.91666666667,0,0
calibrated_ideal,calibrated (ideal),-1.9,0,0
calibrated_ideal,calibrated (ideal),-1.88333333333,0,0
calibrated_ideal,calibrated (ideal),-1.86666666667,0,0
calibrated_ideal,calibrated (ideal),-1.85,0,0
calibrated_ideal,calibrated (ideal),-1.83333333333,0,0
calibrated_ideal,calibrated (ideal),-1.81666666667,0,0
calibrated_ideal,calibrated (ideal),-1.8,0,0
calibrated_ideal,calibrated (ideal),-1.78333333333,0,0
calibrated_ideal,calibrated (ideal),-1.76666666667,0,0
calibrated_ideal,calibrated (ideal),-1.75,0,0
calibrated_ideal,calibrated (ideal),-1.73333333333,0,0
calibrated_ideal,calibrated (ideal),-1.71666666667,0,0
calibrated_ideal,calibrated (ideal),-1.7,0,0
calibrated_ideal,calibrated (ideal),-1.68333333333,0,0
calibrated_ideal,calibrated (ideal),-1.66666666667,0,0
calibrated_ideal,calibrated (ideal),-1.65,0,0
calibrated_ideal,calibrated (ideal),-1.63333333333,0,0
calibrated_ideal,calibrated (ideal),-1.61666666667,0,0
calibrated_ideal,calibrated (ideal),-1.6,0,0
calibrated_ideal,calibrated (ideal),-1.58333333333,0,0
calibrated_ideal,calibrated (ideal),-1.56666666667,0,0
calibrated_ideal,calibrated (ideal),-1.55,0,0
calibrated_ideal,calibrated (ideal),-1.53333333333,0,0
calibrated_ideal,calibrated (ideal),-1.51666666667,0,0
calibrated_ideal,calibrated (ideal),-1.5,0,0
calibrated_ideal,calibrated (ideal),-1.48333333333,0,0
calibrated_ideal,calibrated (ideal),-1.46666666667,0,0
calibrated_ideal,calibrated (ideal),-1.45,0,0
calibrated_ideal,calibrated (ideal),-1.43333333333,0,0
calibrated_ideal,calibrated (ideal),-1.41666666667,0,0
calibrated_ideal,calibrated (ideal),-1.4,0,0
calibrated_ideal,calibrated (ideal),-1.38333333333,0,0
calibrated_ideal,calibrated (ideal),-1.36666666667,0,0
calibrated_ideal,calibrated (ideal),-1.35,0,0
calibrated_ideal,calibrated (ideal),-1.33333333333,0,0
calibrated_ideal,calibrated (ideal),-1.31666666667,0,0
calibrated_ideal,calibrated (ideal),-1.3,0,0
calibrated_ideal,calibrated (ideal),-1.28333333333,0,0
calibrated_ideal,calibrated (ideal),-1.26666666667,0,0
calibrated_ideal,calibrated (ideal),-1.25,0,0
calibrated_ideal,calibrated (ideal),-1.23333333333,0,0
calibrated_ideal,calibrated (ideal),-1.21666666667,0,0
calibrated_ideal,calibrated (ideal),-1.2,0,0
calibrated_ideal,calibrated (ideal),-1.18333333333,0,0
calibrated_ideal,calibrated (ideal),-1.16666666667,0,0
calibrated_ideal,calibrated (ideal),-1.15,0,0
calibrated_ideal,calibrated (ideal),-1.13333333333,0,0
calibrated_ideal,calibrated (ideal),-1.11666666667,0,0
calibrated_ideal,calibrated (ideal),-1.1,0,0
calibrated_ideal,calibrated (ideal),-1.08333333333,0,0
calibrated_ideal,calibrated (ideal),-1.06666666667,0,0
calibrated_ideal,calibrated (ideal),-1.05,0,0
calibrated_ideal,calibrated (ideal),-1.03333333333,0,0
calibrated_ideal,calibrated (ideal),-1.01666666667,0,0
calibrated_ideal,calibrated (ideal),-1,0,0
calibrated_ideal,calibrated (ideal),-0.983333333333,0,0
calibrated_ideal,calibrated (ideal),-0.966666666667,0,0
calibrated_ideal,calibrated (ideal),-0.95,0,0
calibrated_ideal,calibrated (ideal),-0.933333333333,0,0
calibrated_ideal,calibrated (ideal),-0.916666666667,0,0
calibrated_ideal,calibrated (ideal),-0.9,0,0
calibrated_ideal,calibrated (ideal),-0.883333333333,0,0
calibrated_ideal,calibrated (ideal),-0.866666666667,0,0
calibrated_ideal,calibrated (ideal),-0.85,0,0
calibrated_ideal,calibrated (ideal),-0.833333333333,0,0
calibrated_ideal,calibrated (ideal),-0.816666666667,0,0
calibrated_ideal,calibrated (ideal),-0.8,0,0
calibrated_ideal,calibrated (ideal),-0.783333333333,0,0
calibrated_ideal,calibrated (ideal),-0.766666666667,0,0
calibrated_ideal,calibrated (ideal),-0.75,0,0
calibrated_ideal,calibrated (ideal),-0.733333333333,0,0
