model,turn,threshold,weight_family,aggregation,p_val,p_inval,ads,n_valid_artifacts,n_invalid_artifacts
gpt-5.5,1,5,ads_hinged,lead,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,ads_hinged,max,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,ads_hinged,mean,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,ads_hinged,median,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,ads_hinged,min,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,ads_hinged,sum,0.9162801258218797,0.26061328244177145,65.56668433801083,22,22
gpt-5.5,1,5,none,unweighted,0.9174242424242425,0.2757575757575758,64.16666666666666,22,22
gpt-5.5,1,5,raw_bt_abs,lead,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,1,5,raw_bt_abs,max,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,1,5,raw_bt_abs,mean,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,1,5,raw_bt_abs,median,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,1,5,raw_bt_abs,min,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,1,5,raw_bt_abs,sum,0.9159465737005461,0.2608328201925701,65.5113753507976,22,22
gpt-5.5,2,5,ads_hinged,lead,0.9711143938151318,0.2503892574700837,72.0725136345048,22,22
gpt-5.5,2,5,ads_hinged,max,0.9882771624952214,0.26013613430556176,72.81410281896596,22,22
gpt-5.5,2,5,ads_hinged,mean,0.9859986107972314,0.2548074717486102,73.11911390486212,22,22
gpt-5.5,2,5,ads_hinged,median,0.9859986107972314,0.2548074717486102,73.11911390486212,22,22
gpt-5.5,2,5,ads_hinged,min,0.971715506030016,0.21433369007459221,75.73818159554237,21,19
gpt-5.5,2,5,ads_hinged,sum,0.9859986107972314,0.2548074717486102,73.11911390486212,22,22
gpt-5.5,2,5,none,unweighted,0.9886363636363636,0.271969696969697,71.66666666666667,22,22
gpt-5.5,2,5,raw_bt_abs,lead,0.97316634629837,0.2539886146015651,71.91777316968049,22,22
gpt-5.5,2,5,raw_bt_abs,max,0.9881608649641838,0.26204788924203776,72.61129757221461,22,22
gpt-5.5,2,5,raw_bt_abs,mean,0.9865303683239578,0.2576440952818976,72.88862730420603,22,22
gpt-5.5,2,5,raw_bt_abs,median,0.9865303683239578,0.2576440952818976,72.88862730420603,22,22
gpt-5.5,2,5,raw_bt_abs,min,0.9772400521688549,0.25045311040955864,72.67869417592962,22,22
gpt-5.5,2,5,raw_bt_abs,sum,0.9865303683239578,0.2576440952818976,72.88862730420603,22,22
gpt-5.5,3,5,ads_hinged,lead,1.0,0.26030432515465163,73.96956748453483,22,22
gpt-5.5,3,5,ads_hinged,max,1.0,0.2864301840935601,71.35698159064398,22,22
gpt-5.5,3,5,ads_hinged,mean,1.0,0.2868167555202181,71.31832444797818,22,22
gpt-5.5,3,5,ads_hinged,median,1.0,0.28302153083571835,71.69784691642816,22,22
gpt-5.5,3,5,ads_hinged,min,1.0,0.22632166372447082,77.36783362755291,21,16
gpt-5.5,3,5,ads_hinged,sum,1.0,0.28286249946835684,71.71375005316432,22,22
gpt-5.5,3,5,none,unweighted,1.0,0.27651515151515155,72.34848484848484,22,22
gpt-5.5,3,5,raw_bt_abs,lead,1.0,0.2595487017620182,74.04512982379818,22,22
gpt-5.5,3,5,raw_bt_abs,max,1.0,0.28547321339050935,71.45267866094906,22,22
gpt-5.5,3,5,raw_bt_abs,mean,1.0,0.284974776024956,71.50252239750439,22,22
gpt-5.5,3,5,raw_bt_abs,median,1.0,0.2811129646519459,71.88870353480542,22,22
gpt-5.5,3,5,raw_bt_abs,min,1.0,0.2827216780983239,71.7278321901676,22,22
gpt-5.5,3,5,raw_bt_abs,sum,1.0,0.28146979540965344,71.85302045903465,22,22
o4-mini,1,5,ads_hinged,lead,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,ads_hinged,max,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,ads_hinged,mean,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,ads_hinged,median,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,ads_hinged,min,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,ads_hinged,sum,0.8941134987855383,0.5433451729825317,35.07683258030065,22,22
o4-mini,1,5,none,unweighted,0.9022727272727273,0.5733369007769943,32.893582649573304,22,22
o4-mini,1,5,raw_bt_abs,lead,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,1,5,raw_bt_abs,max,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,1,5,raw_bt_abs,mean,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,1,5,raw_bt_abs,median,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,1,5,raw_bt_abs,min,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,1,5,raw_bt_abs,sum,0.8895413693733759,0.542665566763279,34.687580261009686,22,22
o4-mini,2,5,ads_hinged,lead,0.9756432863915155,0.5149504679268575,46.069281846465806,22,22
o4-mini,2,5,ads_hinged,max,0.9682589613098685,0.5375986514409803,43.066030986888826,22,22
o4-mini,2,5,ads_hinged,mean,0.9690949920778231,0.5260788818080957,44.30161102697274,22,22
o4-mini,2,5,ads_hinged,median,0.9690949920778231,0.5260788818080957,44.30161102697274,22,22
o4-mini,2,5,ads_hinged,min,0.9735694401184456,0.42895691898571237,54.46125211327333,22,18
o4-mini,2,5,ads_hinged,sum,0.9690949920778231,0.5260788818080957,44.30161102697274,22,22
o4-mini,2,5,none,unweighted,0.9681818181818183,0.5528731520768342,41.53086661049841,22,22
o4-mini,2,5,raw_bt_abs,lead,0.9755626923442631,0.5170781473732718,45.84845449709912,22,22
o4-mini,2,5,raw_bt_abs,max,0.9682761191626007,0.5414619947825806,42.681412438002006,22,22
o4-mini,2,5,raw_bt_abs,mean,0.968918171729429,0.5310873971514821,43.78307745779468,22,22
o4-mini,2,5,raw_bt_abs,median,0.968918171729429,0.5310873971514821,43.78307745779468,22,22
o4-mini,2,5,raw_bt_abs,min,0.9729748934966383,0.5062252764697294,46.6749617026909,22,22
o4-mini,2,5,raw_bt_abs,sum,0.968918171729429,0.5310873971514821,43.78307745779468,22,22
o4-mini,3,5,ads_hinged,lead,0.9923195000670906,0.5082176498463552,48.410185022073534,22,22
