artefact_id,direction,validity,idx,bt_rating,raw_bt_abs_weight
S03,lower,valid,2,1.4499174295638946,1.4499174295638946
M02,lower,valid,1,1.397325089414556,1.397325089414556
M07,lower,valid,1,1.3908511626568008,1.3908511626568008
L03,raise,valid,1,1.3843682314227486,1.3843682314227486
S05,lower,valid,0,1.3247324884057123,1.3247324884057123
M03,raise,valid,0,1.3129757077350597,1.3129757077350597
S05,lower,valid,1,1.3086378865722057,1.3086378865722057
L07,raise,valid,1,1.3027446515515395,1.3027446515515395
S08,raise,valid,0,1.2985866554656946,1.2985866554656946
M06,lower,valid,0,1.2785313453812357,1.2785313453812357
S08,raise,valid,2,1.269227018822495,1.269227018822495
M02,lower,valid,0,1.2643136905200447,1.2643136905200447
S05,lower,valid,2,1.259169454403891,1.259169454403891
M05,raise,valid,1,1.256440135817023,1.256440135817023
L08,lower,valid,0,1.248449366377802,1.248449366377802
M04,lower,valid,0,1.242477582516358,1.242477582516358
M05,raise,valid,2,1.2415643808485517,1.2415643808485517
M04,lower,valid,1,1.2299694160385777,1.2299694160385777
L08,lower,valid,1,1.2206115944637437,1.2206115944637437
S04,raise,valid,0,1.220534222406735,1.220534222406735
S07,lower,valid,2,1.213580411655593,1.213580411655593
L04,lower,valid,0,1.2049454960451975,1.2049454960451975
L01,raise,valid,1,1.201408479296202,1.201408479296202
S02,raise,valid,0,1.201240712273223,1.201240712273223
L01,raise,valid,2,1.1949735306227711,1.1949735306227711
M07,raise,valid,2,1.1866320939216002,1.1866320939216002
M07,raise,valid,0,1.1759999151024272,1.1759999151024272
L07,raise,valid,0,1.171554137259673,1.171554137259673
L03,lower,valid,0,1.1649873681569265,1.1649873681569265
L07,raise,valid,2,1.1573854568862034,1.1573854568862034
M03,lower,valid,0,1.1425230834236535,1.1425230834236535
S06,raise,valid,0,1.1320262228631268,1.1320262228631268
M01,raise,valid,2,1.1190680027608122,1.1190680027608122
M07,raise,valid,1,1.109554532384852,1.109554532384852
M08,raise,valid,2,1.108699038516188,1.108699038516188
L01,raise,valid,0,1.0900988321295348,1.0900988321295348
L03,raise,valid,0,1.084103933179087,1.084103933179087
M01,raise,valid,0,1.0798532783544477,1.0798532783544477
S06,raise,valid,1,1.065536073718743,1.065536073718743
L02,lower,valid,0,1.061836309396732,1.061836309396732
M02,lower,valid,2,1.0609986869313,1.0609986869313
L04,raise,valid,1,1.0604617433750498,1.0604617433750498
L02,lower,valid,1,1.0456627658170958,1.0456627658170958
M01,raise,valid,1,1.043967643497741,1.043967643497741
S07,lower,valid,1,1.0402754133782892,1.0402754133782892
S02,raise,valid,2,1.0245577374828176,1.0245577374828176
L03,raise,valid,2,1.0244012342637587,1.0244012342637587
M04,lower,valid,2,1.0203122652959251,1.0203122652959251
S02,raise,valid,1,1.0201210023159797,1.0201210023159797
L08,lower,valid,2,1.0087462547747708,1.0087462547747708
M07,lower,valid,0,1.0079364125265544,1.0079364125265544
S06,lower,valid,1,0.9887821887935448,0.9887821887935448
M06,lower,valid,1,0.9876727105039572,0.9876727105039572
S03,lower,valid,0,0.9795666548836616,0.9795666548836616
S07,lower,valid,0,0.9780961432980988,0.9780961432980988
M07,lower,valid,2,0.9763383666625703,0.9763383666625703
S04,raise,valid,1,0.9737113679621096,0.9737113679621096
S06,raise,valid,2,0.9698894236766316,0.9698894236766316
S04,raise,valid,2,0.9655039365562942,0.9655039365562942
S04,lower,valid,2,0.9652701298011278,0.9652701298011278
S08,raise,valid,1,0.9581023487792528,0.9581023487792528
S03,lower,valid,1,0.9577080524558366,0.9577080524558366
L04,lower,valid,1,0.9558098628650776,0.9558098628650776
S06,lower,valid,2,0.9402594609197604,0.9402594609197604
M01,lower,valid,2,0.9146736258340004,0.9146736258340004
L01,lower,valid,0,0.9109174147245832,0.9109174147245832
M03,raise,valid,2,0.9009334554366248,0.9009334554366248
S02,lower,valid,0,0.8768752785239002,0.8768752785239002
L04,lower,valid,2,0.85958371743788,0.85958371743788
S01,lower,valid,0,0.8567826789605594,0.8567826789605594
M08,lower,valid,1,0.8401669836972638,0.8401669836972638
M02,raise,valid,2,0.834141102487119,0.834141102487119
