artefact,n_s0,mean_s0,direction,borderline
L01,20,92.95,lower,False
L02,20,57.45,lower,False
L03,20,93.2,lower,False
L04,20,45.55,raise,True
L07,20,94.15,lower,False
L08,20,26.65,raise,False
M01,20,93.7,lower,False
M02,20,19.45,raise,False
M03,20,91.15,lower,False
M04,20,21.9,raise,False
M05,20,94.1,lower,False
M06,20,53.25,lower,True
M07,20,89.75,lower,False
M08,20,93.7,lower,False
S01,20,56.35,lower,False
S02,20,80,lower,False
S03,20,39.35,raise,False
S04,20,93.7,lower,False
S05,20,41.8,raise,False
S06,20,90.7,lower,False
S07,20,46.45,raise,True
S08,20,94.35,lower,False
