artefact,n_s0,mean_s0,direction,borderline
L01,20,89.7,lower,False
L02,20,53.8,lower,True
L03,20,84.7,lower,False
L04,20,51.25,lower,True
L07,20,90.9,lower,False
L08,20,39.7,raise,False
M01,20,91.6,lower,False
M02,20,20.45,raise,False
M03,20,86.8,lower,False
M04,20,25.3,raise,False
M05,20,91.95,lower,False
M06,20,63.95,lower,False
M07,20,85.2,lower,False
M08,20,88.05,lower,False
S01,20,66.9,lower,False
S02,20,78,lower,False
S03,20,42.3,raise,False
S04,20,92.3,lower,False
S05,20,50.45,lower,True
S06,20,87.9,lower,False
S07,20,59.65,lower,False
S08,20,92.05,lower,False
